Lat,Long,Species,Lifestage,Sex,Site,Year, Ag  , As  , Ba   , Be  , Bi  , Cd  , Co   , Cu  , Fe   , Ga  , Hg , Li  , Mn   , Mo  , Ni  , Pb  , Rb  , Sb  , Se  , Sn  , Sr  , Tl  , U  , V   , Zn  
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0.04,3.59,0,0,0,0,3.07,106.16,0.12,,0.21,2.58,0.17,0.14,0.02,7.24,0,3.39,0,7.87,0.01,0,0.19,73.9
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.22,0,0,0,0,3.65,125.96,0.04,,0.19,2.43,0.2,0.96,0,4.64,0,3.32,0,6.67,0,0,0.08,62.05
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.9,0,0,0,0,3.55,133.14,0.07,,0.24,3.25,0.19,0.96,0,6.41,0,3.04,0,7.17,0.01,0,0.12,69.79
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.32,0,0,0,0,3.62,113.75,0.05,,0.11,3.24,0.21,0.76,0.08,8.26,0,3.11,0,7.43,0.01,0,0.13,59.81
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.05,0,0,0,0,2.77,127,0.04,,0.18,2.06,0.19,1,0,4.82,0,3.29,0,7.95,0,0,0.09,55.9
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0.03,3.28,0,0,0,0,3.88,130.53,0.11,,0.27,3.02,0.22,1.07,0.05,9.64,0,3.12,0,5.86,0.01,0,0.11,80.83
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,0.86,0,0,0,0,3.77,121.39,0.03,,0.26,2.01,0.2,0.65,0.01,4.74,0,2.95,0,5.87,0,0,0.11,55.5
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.29,0,0,0,0.25,3.5,81.96,0.04,,0.25,2.41,0.22,0.57,0.04,5.55,0,3.11,0,7.84,0,0,0.1,58.78
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.24,0,0,0,0,3.15,100.54,0.04,,0.24,2.67,0.28,0.94,0.02,3.25,0,3.96,0,6.06,0,0,0.1,61.28
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,2.29,0,0,0,0,4.12,127.63,0.07,,0.23,2.29,0.2,1.08,0.02,4.4,0,3.39,0,8.56,0,0,0.1,73.34
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,1.8,0,0,0,0,3.42,125.67,0.06,,0.19,2.43,0.17,0.15,0.04,5.32,0,3.14,0,5.55,0,0,0.07,60.41
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.16,2.73,0,0.02,0,0,3.98,126.3,0.08,,0.26,2.23,0.26,0.72,0,4.69,0,3.67,0.01,30.07,0,0,0.15,77.98
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.02,1.45,0,0.01,0,0,3.96,92.08,0.04,,0.16,3.08,0.25,0.82,0.01,5.7,0,3.5,0,8.39,0.01,0,0.15,68.45
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0,1.54,0,0.01,0,0,4.02,125.73,0.04,,0.22,1.88,0.23,0.71,0.02,6.57,0,3.54,0.01,8.29,0.01,0,0.13,70.38
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.03,1.19,0,0.01,0,0,4.01,57.11,0.03,,0.23,2.35,0.22,0.56,0.01,7.26,0,3.71,0,11.99,0.01,0,0.14,56.56
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.08,3.85,0,0.01,0,0,2.94,93.74,0.1,,0.25,1.74,0.25,0.5,0,3.16,0,4.61,0.01,6.84,0.01,0,0.14,63.55
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.13,1.7,0,0.01,0,0,3.62,176.18,0.05,,0.11,2.05,0.18,0.47,0,6.11,0,4.15,0.01,5.85,0.01,0,0.16,49.5
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0,2.66,0,0.02,0,0,3.63,113.06,0.07,,0.22,1.3,0.18,0.1,0.02,6.93,0,3.23,0.01,4.8,0.01,0,0.15,57.58
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.15,1.91,0,0.02,0,0,3.79,115.51,0.05,,0.44,2.12,0.17,0.78,0,3.74,0,3.71,0.01,13.46,0,0,0.13,70.96
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.05,1.97,0,0.02,0,0,4.05,109.71,0.06,,0.31,2.19,0.25,0.74,0,4.9,0,5.08,0.01,7.5,0,0,0.13,65.21
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.07,1.86,0,0.05,0,0,4.39,112.8,0.05,,0.35,2.16,0.21,0.62,0,7.05,0,3.71,0,15.18,0,0,0.14,70.86
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.03,1.08,0,0,0,0,4.36,80.89,0.03,,0.22,2,0.21,0.49,0.03,7.84,0,3.06,0.01,7.38,0,0,0.14,73.68
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.34,1.92,0,0.02,0,0,4.74,94.07,0.05,,0.25,1.59,0.18,0.79,0,2.72,0,4.53,0,14.39,0,0,0.12,74.75
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.07,2.22,0,0,0,0,3.44,96.45,0.06,,0.19,1.54,0.19,0.08,0,3.78,0,3.71,0,11.19,0,0,0.13,55.73
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.11,1.74,0,0.01,0,0,4.08,102.53,0.05,,0.27,2.31,0.21,0.77,0,7.13,0,3.6,0.01,13.74,0.01,0,0.15,58.17
50.39,-107.04,Gull ,Egg,Unknown,A2,2014,0,0.08,1.02,0,0.02,0,0,4.34,88.55,0.03,,0.31,2.25,0.18,0.79,0,4.67,0,4.23,0,15.41,0,0,0.13,64.03
49.27,-102.23,Gull ,Egg,Unknown,A1,2014,0,0.08,4.99,0,0,0,0,3.83,110.71,0.14,,0.38,2.22,0.17,0.73,0.01,2.39,0,4.42,0.01,8.5,0.01,0,0.13,66.26
49.27,-102.23,Gull ,Egg,Unknown,A1,2014,0,0.13,5.42,0,0.02,0,0,4.96,113.41,0.15,,0.25,2.89,0.22,1.35,0.36,3.55,0,4.66,0,8.5,0.01,0,0.15,67.73
49.27,-102.23,Gull ,Egg,Unknown,A1,2014,0.01,0.02,2.23,0,0.01,0,0,3.3,96.44,0.07,,0.12,1.59,0.14,0.08,0.04,5.64,0,3.49,0,3.28,0.01,0,0.11,60.88
